Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,93.0,89.3125,91.5,90.3125,567200.0,7.5112690925598145
2000-01-04,90.125,84.4375,87.5,85.625,705500.0,7.121409893035889
2000-01-05,84.75,78.5,84.75,82.4375,924700.0,6.856306552886963
2000-01-06,81.4375,77.75,81.4375,78.1875,1031100.0,6.502833843231201
2000-01-07,86.875,80.9375,81.25,86.5,2840200.0,7.194182395935059
2000-01-10,90.4375,87.8125,89.625,88.8125,553300.0,7.3865156173706055
2000-01-11,90.3125,86.125,87.875,87.25,1045900.0,7.256565093994141
2000-01-12,87.25,83.25,87.0,84.5,490400.0,7.027842044830322
2000-01-13,86.625,83.75,85.1875,85.4375,480900.0,7.105814456939697
2000-01-14,88.1875,84.0625,87.625,84.625,506100.0,7.038240909576416
2000-01-18,89.1875,84.25,84.625,89.125,750000.0,7.412503719329834
2000-01-19,93.6875,89.5,89.5,92.6875,1054100.0,7.7087931632995605
2000-01-20,95.6875,92.625,94.6875,92.9375,793400.0,7.729585647583008
2000-01-21,96.75,93.375,93.9375,96.75,959300.0,8.046669006347656
2000-01-24,98.5,94.0625,97.375,94.5,904900.0,7.859541416168213
2000-01-25,96.75,92.375,96.75,96.0,891500.0,7.984292030334473
2000-01-26,101.875,95.25,96.5625,99.5,2995300.0,8.275396347045898
2000-01-27,108.5625,102.875,105.0,104.375,3671800.0,8.680846214294434
2000-01-28,104.0,96.8125,104.0,98.625,1869200.0,8.202614784240723
2000-01-31,102.25,94.0,97.75,102.1875,2002500.0,8.498907089233398
2000-02-01,101.1875,98.0,101.1875,99.0625,922600.0,8.239004135131836
2000-02-02,108.25,100.3125,100.3125,106.875,2902800.0,8.888769149780273
2000-02-03,109.875,106.25,106.75,109.625,1295000.0,9.117486000061035
2000-02-04,120.5625,109.875,109.875,119.0,2742300.0,9.897200584411621
2000-02-07,118.5,113.625,117.5625,115.8125,1589700.0,9.632101058959961
2000-02-08,119.375,116.6875,117.4375,119.0,1568600.0,9.897200584411621
2000-02-09,124.5625,119.75,120.5,121.125,1605700.0,10.073941230773926
2000-02-10,121.75,119.375,121.125,121.1875,919500.0,10.079132080078125
2000-02-11,121.4375,117.875,121.1875,118.015625,1204800.0,9.815328598022461
2000-02-14,120.6875,117.625,119.0,118.9375,763700.0,9.891998291015625
2000-02-15,120.0,116.3125,119.375,119.3125,913200.0,9.923189163208008
2000-02-16,123.625,114.5,116.0,123.125,2826300.0,10.240277290344238
2000-02-17,123.875,121.0,123.3125,122.5,1074100.0,10.188295364379883
2000-02-18,123.1875,119.0,122.4375,119.375,677600.0,9.928394317626953
2000-02-22,116.3125,111.625,115.125,112.9375,1855000.0,9.392984390258789
2000-02-23,117.375,112.5625,113.3125,117.1875,1639100.0,9.746458053588867
2000-02-24,118.5,113.625,118.0,114.8125,848400.0,9.548931121826172
2000-02-25,114.25,110.25,113.4375,112.0,1791100.0,9.315010070800781
2000-02-28,111.0,106.9375,110.4375,110.6875,1474500.0,9.205854415893555
2000-02-29,113.75,108.8125,112.0,109.9375,1089300.0,9.143477439880371
2000-03-01,114.75,110.4375,110.5,114.125,1059800.0,9.491747856140137
2000-03-02,115.75,112.875,113.625,115.75,998600.0,9.626899719238281
2000-03-03,117.25,114.1875,115.875,116.125,699900.0,9.658087730407715
2000-03-06,122.5,116.0,116.0,122.0,911600.0,10.146711349487305
2000-03-07,124.875,117.3125,123.0,118.375,2447100.0,9.845223426818848
2000-03-08,118.9375,116.125,118.875,117.25,1781400.0,9.751656532287598
