Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,59.3125,58.5,59.25,58.8125,2039300.0,21.455591201782227
2000-01-04,59.4375,58.25,58.4375,58.5,3825800.0,21.34159278869629
2000-01-05,60.5,57.75,57.9375,60.5,4055900.0,22.071218490600586
2000-01-06,60.625,59.3125,59.6875,60.625,4034700.0,22.11681365966797
2000-01-07,59.5,58.5,58.5,59.5,4027200.0,21.70639991760254
2000-01-10,57.75,56.875,57.25,57.75,2999700.0,21.067975997924805
2000-01-11,57.75,55.875,57.0,57.75,3838800.0,21.067975997924805
2000-01-12,57.125,56.0625,57.0,56.5625,2714700.0,20.63475799560547
2000-01-13,57.875,55.625,56.0,57.375,3973000.0,20.931182861328125
2000-01-14,55.9375,54.8125,55.5625,55.3125,4740000.0,20.178752899169922
2000-01-18,55.75,54.75,54.8125,55.75,2319500.0,20.338346481323242
2000-01-19,56.375,55.5625,56.0,56.0,3252700.0,20.429550170898438
2000-01-20,55.125,54.0,54.75,54.6875,5284700.0,19.95073127746582
2000-01-21,56.625,55.5625,55.5625,56.25,3514000.0,20.520755767822266
2000-01-24,58.375,55.625,58.25,56.0,2101000.0,20.429550170898438
2000-01-25,56.25,54.625,56.0,54.875,2170500.0,20.019136428833008
2000-01-26,55.1875,53.75,53.75,54.8125,2160900.0,19.996337890625
2000-01-27,55.75,53.8125,55.75,54.125,1713200.0,19.74553108215332
2000-01-28,54.6875,53.6875,54.0,53.9375,2663000.0,19.6771240234375
2000-01-31,54.0,52.75,53.625,53.75,2265200.0,19.608722686767578
2000-02-01,54.5625,52.6875,52.75,54.5,2342300.0,19.882333755493164
2000-02-02,55.125,53.25,55.0,53.9375,2284100.0,19.6771240234375
2000-02-03,52.375,50.03125,51.0,52.1875,9773800.0,19.038707733154297
2000-02-04,50.3125,48.5625,49.8125,49.25,5663700.0,17.967063903808594
2000-02-07,48.875,48.0625,48.5,48.5,2954700.0,17.693449020385742
2000-02-08,49.3125,47.4375,49.125,48.125,3632000.0,17.556650161743164
2000-02-09,47.375,45.625,47.375,45.875,5604200.0,16.735815048217773
2000-02-10,48.625,45.125,45.125,48.125,7042500.0,17.556650161743164
2000-02-11,47.5625,46.25,46.25,46.625,6044400.0,17.009429931640625
2000-02-14,47.5,45.6875,46.1875,47.4375,2997200.0,17.30584144592285
2000-02-15,47.625,46.0,46.25,47.375,5561700.0,17.283037185668945
2000-02-16,50.0,47.625,47.6875,49.25,4224900.0,17.967063903808594
2000-02-17,51.125,48.5625,50.875,48.875,2896800.0,17.83025550842285
2000-02-18,48.375,46.4375,48.25,46.875,2183200.0,17.10062599182129
2000-02-22,45.625,44.125,45.0,45.375,3774100.0,16.553409576416016
2000-02-23,45.125,44.0625,44.75,45.0,2418800.0,16.537973403930664
2000-02-24,44.25,43.125,44.125,43.625,3329400.0,16.032649993896484
2000-02-25,44.875,43.875,43.875,44.375,3337900.0,16.308269500732422
2000-02-28,46.0,43.3125,43.875,45.8125,3456900.0,16.836580276489258
2000-02-29,47.625,46.6875,47.125,47.0625,4439200.0,17.29596519470215
2000-03-01,48.5,46.75,47.875,47.625,3588000.0,17.502695083618164
2000-03-02,48.6875,46.875,47.0625,47.9375,3048000.0,17.617534637451172
2000-03-03,48.1875,47.3125,48.0,47.5,2208500.0,17.456750869750977
2000-03-06,48.0,46.75,47.25,47.1875,1665800.0,17.341909408569336
2000-03-07,51.0,47.375,47.9375,50.6875,4960000.0,18.628189086914062
2000-03-08,54.75,51.75,51.75,53.0,8393600.0,19.47806739807129
2000-03-09,53.0,51.5,52.3125,52.875,3784400.0,19.432113647460938
2000-03-10,53.4375,51.875,52.6875,53.375,5126400.0,19.61587905883789
2000-03-13,52.8125,51.3125,51.875,51.5625,1790200.0,18.94976234436035
2000-03-14,52.0,50.8125,51.9375,51.125,2350200.0,18.788984298706055
2000-03-15,53.4375,51.625,53.125,52.75,8784600.0,19.386178970336914
2000-03-16,54.375,52.875,54.375,53.75,7059900.0,19.753686904907227
2000-03-17,52.875,51.125,52.4375,51.375,3342900.0,18.880847930908203
2000-03-20,51.625,50.0,51.5625,50.3125,3207300.0,18.490379333496094
2000-03-21,51.9375,51.0625,51.9375,51.75,4428500.0,19.018680572509766
2000-03-22,52.0,50.9375,51.375,51.4375,2735600.0,18.90382194519043
2000-03-23,51.5625,50.25,51.375,51.5,2627100.0,18.926794052124023
2000-03-24,51.875,50.1875,51.125,50.625,4824200.0,18.605224609375
