Date;Open;High;Low;Close;Adj Close**;Volume
Apr 22, 2021;4,170.46;4,179.57;4,123.69;4,134.98;4,134.98;4,235,040,000
Apr 21, 2021;4,128.42;4,175.02;4,126.35;4,173.42;4,173.42;3,865,820,000
Apr 20, 2021;4,159.18;4,159.18;4,118.38;4,134.94;4,134.94;4,338,230,000
Apr 19, 2021;4,179.80;4,180.81;4,150.47;4,163.26;4,163.26;3,788,020,000
Apr 16, 2021;4,174.14;4,191.31;4,170.75;4,185.47;4,185.47;4,157,430,000
Apr 15, 2021;4,139.76;4,173.49;4,139.76;4,170.42;4,170.42;4,027,680,000
Apr 14, 2021;4,141.58;4,151.69;4,120.87;4,124.66;4,124.66;3,976,540,000
Apr 13, 2021;4,130.10;4,148.00;4,124.43;4,141.59;4,141.59;3,728,440,000
Apr 12, 2021;4,124.71;4,131.76;4,114.82;4,127.99;4,127.99;3,578,500,000
Apr 09, 2021;4,096.11;4,129.48;4,095.51;4,128.80;4,128.80;3,634,910,000
Apr 08, 2021;4,089.95;4,098.19;4,082.54;4,097.17;4,097.17;3,901,910,000
Apr 07, 2021;4,074.29;4,083.13;4,068.31;4,079.95;4,079.95;4,112,640,000
Apr 06, 2021;4,075.57;4,086.23;4,068.14;4,073.94;4,073.94;4,027,880,000
Apr 05, 2021;4,034.44;4,083.42;4,034.44;4,077.91;4,077.91;3,999,760,000
Apr 01, 2021;3,992.78;4,020.63;3,992.78;4,019.87;4,019.87;4,151,240,000
Mar 31, 2021;3,967.25;3,994.41;3,966.98;3,972.89;3,972.89;4,564,980,000
Mar 30, 2021;3,963.34;3,968.01;3,944.35;3,958.55;3,958.55;4,103,570,000
Mar 29, 2021;3,969.31;3,981.83;3,943.25;3,971.09;3,971.09;4,619,840,000
Mar 26, 2021;3,917.12;3,978.19;3,917.12;3,974.54;3,974.54;5,467,850,000
Mar 25, 2021;3,879.34;3,919.54;3,853.50;3,909.52;3,909.52;4,940,800,000
Mar 24, 2021;3,919.93;3,942.08;3,889.07;3,889.14;3,889.14;4,766,990,000
Mar 23, 2021;3,937.60;3,949.13;3,901.57;3,910.52;3,910.52;4,645,340,000
Mar 22, 2021;3,916.48;3,955.31;3,914.16;3,940.59;3,940.59;4,311,380,000
